Name,SMILES
p0001,C1CNP(=O)(OC1)N(CCCl)CCCl
p0002,c1cc(c(cc1[N+](=O)[O-])Cl)NC(=O)c2cc(ccc2O)Cl
p0003,COP(=O)(C(C(Cl)(Cl)Cl)O)OC
p0004,CN(C)S(=O)(=O)c1ccc(cc1)OP(=S)(OC)OC
p0005,c1ccc2c(c1)ccc3c2cc4ccccc4c3
p0006,c1ccc(cc1)CCO
p0007,COP(=O)(OC)OC=C(Cl)Cl
p0008,C[C@H]1C[C@@H](C(=O)[C@@H](C1)[C@@H](CC2CC(=O)NC(=O)C2)O)C
p0009,CN(C)C=O
p0010,c1c(c(c(c(c1Cl)Cl)Cc2c(c(cc(c2Cl)Cl)Cl)O)O)Cl
p0011,C=C(Cl)Cl
p0012,c1ccc2c(c1)C(=O)OC2(c3ccc(cc3)O)c4ccc(cc4)O
p0013,COP(=S)(OC)SCc1nc(nc(n1)N)N
p0014,CC1=CC(=O)CC(C1)(C)C
p0015,CC(CCl)Cl
p0016,c1cc(ccc1OS(=O)(=O)c2ccc(cc2)Cl)Cl
p0017,c1cc2c(cccc2S(=O)(=O)O)c(c1)S(=O)(=O)O
p0018,c1ccc2c(c1)c(=O)c3ccc4c(c3c2=O)[nH]c5ccc6c(c5[nH]4)c(=O)c7ccccc7c6=O
p0019,c1cc2cccc3c2c(c1)CC3
p0020,CCc1c(c(c(c(c1Br)Br)Br)Br)Br
p0021,c1ccc(cc1)C(C#N)c2ccccc2
p0022,c1ccc(cc1)N(c2ccccc2)N=O
p0023,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
p0024,c1ccc(cc1)C(=O)Oc2cccc3c2nccc3
p0025,Cc1cc(c(cc1Cl)S(=O)(=O)O)N
p0026,CCC(C)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
p0027,c1ccc(cc1)c2ccccc2O
p0028,c1ccc(cc1)C(=O)c2ccccn2
p0029,c1ccc2cc(ccc2c1)N
p0030,c1ccc2c(c1)Sc1c(S2)cccc1
p0031,CC(C(=O)O)Oc1cc(c(cc1Cl)Cl)Cl
p0032,Cc1ccc(cc1C)N
p0033,Cc1ccc(c(c1)Cl)C
p0034,C(C(CCl)O)Cl
p0035,CC(C)(C)c1ccccc1
p0036,CC(C)c1ccccc1
p0037,c1cnc(cn1)C(=O)O
p0038,c1c(cc(c(c1Cl)N)Cl)[N+](=O)[O-]
p0039,CCCC(CCC)C(=O)O
p0040,C=Cc1ccccc1
p0041,CC(C)O/C(=N/c1cccc(c1)Cl)/O
p0042,c1cc(cc(c1)Cl)NC(=O)OCC#CCCl
p0043,CN(C)/C(=N/c1ccccc1)/O
p0044,c1cc(ccc1N)Oc2ccc(cc2)N
p0045,c1ccc(cc1)Oc2ccccc2
p0046,c1ccc(cc1)CCc2ccccc2
p0047,c1ccc(cc1)C=Cc2ccncc2
p0048,c1ccc(cc1)/N=N/c2ccccc2
p0049,Cc1ccc(cc1)S(=O)(=O)O
p0050,CC(=CCC/C(=C/CO)/C)C
p0051,CCC1CO1
p0052,C=CC#N
p0053,C#CCO
p0054,C=COCCCl
p0055,CC(=O)OCCOC(=O)C
p0056,CCCCCCCCCC=O
p0057,CCCCCCCC/C=C\CCCCCCCC(=O)OC
p0058,CCCCCCCCCCCCCCCCCCCC
p0059,C(C(CO)(CO)CO)O
p0060,c1cc(ccc1S(=O)(=O)c2cc(c(cc2Cl)Cl)Cl)Cl
p0061,CC(C)CCCC(C)CCCC(C)CCCC1(CCC2=C(O1)C=CC(=C2)O)C
p0062,Cc1cc(ccc1[N+](=O)[O-])OP(=S)(OC)OC
p0063,c1cc(ccc1N)O
p0064,c1cc(nnc1O)O
p0065,CCCCOCCOCCOC(=O)C
p0066,CCCCCCCCCC
p0067,C(C(CO)(CO)[N+](=O)[O-])O
p0068,C#CC1(CCCCC1)OC(=N)O
p0069,C(C(CBr)Br)OP(=O)(OCC(CBr)Br)OCC(CBr)Br
p0070,CC(C)(C)c1cccc(c1O)C(C)(C)C
p0071,C=CCOC(=O)c1ccccc1C(=O)OCC=C
p0072,c1ccc2cc3cc4cc5ccccc5cc4cc3cc2c1
p0073,c1ccc2c(c1)nc(s2)S
p0074,c1ccc-2cccc2cc1
p0075,c1cnccn1
p0076,CC(=O)Nc1ccc-2c(c1)Cc3c2ccc(c3)F
p0077,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
p0078,c1ccc2c(c1)C(=O)/C(=C\3/C(=O)c4ccccc4N3)/N2
p0079,c1ccc2c(c1)CCN3C2Cc4ccccc4C3
p0080,C=C(c1ccccc1)C(=O)O
p0081,C1CC(NC1)C2=CN=CC=C2
p0082,C1CCC(=O)OCC1
p0083,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C
p0084,CCCCCc1cc(c-2c(c1)OC(c3c2cc(cc3)C)(C)C)O
p0085,c1ccc(c(c1)[N+](=O)[O-])[N+](=O)[O-]
p0086,CCC(C)CC(=O)CC
p0087,C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1C[C@@H]([C@@H]2O)O)O
p0088,c1cc2c(cc1O)oc-3cc(=O)ccc3[n+]2[O-]
p0089,CCC(CC)[N+](=O)[O-]
p0090,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
p0091,c1cc2c(cc1S(=O)(=O)O)cc(cc2O)S(=O)(=O)O
p0092,CCSC(=O)c1cccc(c1)C(=O)SCC
p0093,C=Cc1cccc(c1)[N+](=O)[O-]
p0094,CC1(CCCCC1)C
p0095,CC1(COC(=O)C1O)C
p0096,c1cc(c(c(c1)O)[N+](=O)[O-])O
p0097,c1cc(c(cc1Br)Br)O
p0098,C1COCCN1CCO
p0099,CC(C)(C)C=O
p0100,CCOC(=O)C(C)(C)Oc1ccc(cc1)Cl
p0101,c1cc(oc1C=O)[N+](=O)[O-]
p0102,CC/C(=N/c1ccc(c(c1)Cl)Cl)/O
p0103,CCCCN1CCCC1
p0104,c1cc(cc(c1)O)/C=N/NC(=O)c2ccncc2
p0105,CN1CCCC1=O
p0106,c1c(sc(n1)N)C=O
p0107,CCCCCCc1ccccc1
p0108,CCCCCCCCN(CCCCCCCC)CCCCCCCC
p0109,CCN(C1CCCCC1)C(=O)SCC
p0110,C[C@@]1(CCCC2([C@H]1CCc3c2cc(cc3)OC)C)C(=O)OC
p0111,C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CP(=O)(O)O)CP(=O)(O)O
p0112,CCCCCCCCCCCCS(=O)(=O)O
p0113,CC(C)(C)OC
p0114,C(COCCC#N)C#N
p0115,CCN(CC)C(=O)CSc1ccc(nn1)Cl
p0116,COC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)OC)Cl)Cl
p0117,CCCCN(CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]
p0118,C(#N)c1c(c(c(c(c1Cl)Cl)Cl)C#N)Cl
p0119,CCNc1nc(nc(n1)Cl)NC(C)C
p0120,c1(c(c(nc(c1Cl)Cl)C(=O)O)Cl)N
p0121,Cc1cc(c(c(c1)C(C)(C)C)OC(=O)NC)C(C)(C)C
p0122,CCCCCCCCCCN
p0123,CCCCCCCCCCOCCCCCCCCCC
p0124,CC(C)(C)CC(C)(C)c1ccc(cc1)OCCOCCOCCOCCOCCOCCO
p0125,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC
p0126,CCNc1[nH]c(nc(=O)n1)NCC
p0127,CC(O)(P(=O)(O)O)P(=O)(O)O
p0128,CCCCC(CCCC)c1ccncc1
p0129,c1cc(c(cc1[N+](=O)[O-])Cl)C(=O)N
p0130,CC(=O)Nc1ccc(cc1)c2ccc(cc2)N
p0131,c1ccc-2c(c1)Cc3c2cc(c(c3Br)N)Br
p0132,Cn1cccc(c1=O)C#N
p0133,c1cc(ncc1N)N
p0134,CC(CC(CC(C)(C)C)(C)C)CC(C)(C)C
p0135,c1ccc2c(c1)c(nnc2Cl)Cl
p0136,c1ccc(cc1)C2CCC=CC2
p0137,CC(C#N)c1cccc(c1)C(=O)O
p0138,C1CN(CCN1CCS(=O)(=O)O)CCS(=O)(=O)O
p0139,C(CCCCCC(=O)O)CCCCC#N
p0140,Cc1c(c(=O)n(c(=O)[nH]1)C(C)(C)C)Cl
p0141,C=C(CO)Cl
p0142,c1ccc2c(c1)CCc3ccccc3NC2=O
p0143,c1ccc(cc1)Sc2ccc(cc2)C(=O)O
p0144,COC(=O)C(Cc1ccccc1Cl)C#N
p0145,CC(=O)c1ccc(cc1)n2ccnc2
p0146,n1c3ccccc3nn1c2ccccc2O
p0147,C(CCC(=O)O)CC[N+](=O)[O-]
